食品名,エネルギー（kcal）
＜いも類＞　（さといも類）　みずいも　球茎　生,111
＜いも類＞　（さといも類）　みずいも　球茎　水煮,101
＜いも類＞　（さといも類）　やつがしら　球茎　生,94
＜いも類＞　（さといも類）　やつがしら　球茎　水煮,92
＜いも類＞　じゃがいも　塊茎　皮つき　生,51
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153
＜いも類＞　じゃがいも　塊茎　皮なし　生,59
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229
＜いも類＞　じゃがいも　乾燥マッシュポテト,347
＜いも類＞　ヤーコン　塊根　生,52
＜いも類＞　ヤーコン　塊根　水煮,42
＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,108
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,64
＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,58
＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,119
＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,118
＜いも類＞　（やまのいも類）　だいじょ　塊根　生,102
＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,327
＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,354
＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,356
＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,375
＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,360
＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,357
＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,340
＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,338
＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,363
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,341
＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,133
＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,75
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,352
＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,61
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,129
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,347
＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,83
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,344
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,78
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,346
＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,76
（砂糖類）　黒砂糖,352
（砂糖類）　てんさい含蜜糖,357
（砂糖類）　和三盆糖,393
（砂糖類）　車糖　上白糖,391
（砂糖類）　車糖　三温糖,390
（砂糖類）　ざらめ糖　グラニュー糖,394
（砂糖類）　ざらめ糖　白ざら糖,393
（砂糖類）　ざらめ糖　中ざら糖,393
（砂糖類）　加工糖　角砂糖,394
（砂糖類）　加工糖　氷砂糖,394
（砂糖類）　加工糖　コーヒーシュガー,394
（砂糖類）　加工糖　粉糖,393
（砂糖類）　液糖　しょ糖型液糖,267
（砂糖類）　液糖　転化型液糖,294
（砂糖類）　氷糖みつ,274
（でん粉糖類）　還元麦芽糖,208
（でん粉糖類）　還元水あめ,210
（でん粉糖類）　粉あめ,397
（でん粉糖類）　水あめ　酵素糖化,342
（でん粉糖類）　水あめ　酸糖化,341
（でん粉糖類）　ぶどう糖　全糖,342
（でん粉糖類）　ぶどう糖　含水結晶,342
（でん粉糖類）　ぶどう糖　無水結晶,374
（でん粉糖類）　果糖,375
（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,283
（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,283
（でん粉糖類）　異性化液糖　高果糖液糖,282
（その他）　黒蜜,199
（その他）　はちみつ,329
（その他）　メープルシロップ,266
あずき　全粒　乾,304
あずき　全粒　ゆで,124
あずき　ゆで小豆缶詰,202
あずき　あん　こし生あん,147
